ID,CCTV1,CCTV2,CCTV3,CCTV4
1-1,C142,NA,NA,NA
2-1,C142,NA,NA,NA
3-1,C142,NA,NA,NA
4-1,C142,NA,NA,NA
1-2,NA,NA,NA,NA
1-4,NA,NA,NA,NA
2-4,NA,NA,NA,NA
3-4,NA,NA,NA,NA
4-4,NA,NA,NA,NA
1-5,NA,NA,NA,NA
2-5,NA,NA,NA,NA
1-6,NA,NA,NA,NA
1-7,NA,NA,NA,NA
2-7,NA,NA,NA,NA
1-8,NA,NA,NA,NA
2-8,NA,NA,NA,NA
1-9,NA,NA,NA,NA
2-9,NA,NA,NA,NA
1-10,NA,NA,NA,NA
2-10,NA,NA,NA,NA
3-10,NA,NA,NA,NA
1-11,NA,NA,NA,NA
2-11,NA,NA,NA,NA
3-11,NA,NA,NA,NA
1-12,NA,NA,NA,NA
2-12,NA,NA,NA,NA
3-12,NA,NA,NA,NA
1-13,NA,NA,NA,NA
2-13,NA,NA,NA,NA
3-13,NA,NA,NA,NA
4-13,NA,NA,NA,NA
1-14,NA,NA,NA,NA
1-15,NA,NA,NA,NA
2-15,NA,NA,NA,NA
1-16,NA,NA,NA,NA
2-16,NA,NA,NA,NA
3-16,NA,NA,NA,NA
1-17,NA,NA,NA,NA
2-17,NA,NA,NA,NA
1-18,NA,NA,NA,NA
2-18,NA,NA,NA,NA
3-18,NA,NA,NA,NA
4-18,C112,C110,C108,C114
1-19,C112,C110,C108,C114
1-20,C112,C110,C108,C114
1-21,C112,C110,C108,C114
1-22,C112,C110,C108,C114
1-23,NA,NA,NA,NA
1-24,NA,NA,NA,NA
2-24,NA,NA,NA,NA
3-24,NA,NA,NA,NA
1-25,NA,NA,NA,NA
2-25,NA,NA,NA,NA
3-25,NA,NA,NA,NA
4-25,NA,NA,NA,NA
1-26,NA,NA,NA,NA
1-27,NA,NA,NA,NA
2-27,NA,NA,NA,NA
3-27,NA,NA,NA,NA
1-28,NA,NA,NA,NA
2-28,NA,NA,NA,NA
1-29,NA,NA,NA,NA
2-29,NA,NA,NA,NA
3-29,NA,NA,NA,NA
4-29,NA,NA,NA,NA
1-30,NA,NA,NA,NA
2-30,NA,NA,NA,NA
3-30,NA,NA,NA,NA
1-31,NA,NA,NA,NA
2-31,NA,NA,NA,NA
3-31,NA,NA,NA,NA
4-31,NA,NA,NA,NA
1-32,NA,NA,NA,NA
2-32,NA,NA,NA,NA
3-32,NA,NA,NA,NA
1-33,NA,NA,NA,NA
2-33,NA,NA,NA,NA
1-34,NA,NA,NA,NA
2-34,NA,NA,NA,NA
1-35,NA,NA,NA,NA
2-35,NA,NA,NA,NA
3-35,NA,NA,NA,NA
4-35,NA,NA,NA,NA
1-36,NA,NA,NA,NA
2-36,NA,NA,NA,NA
3-36,NA,NA,NA,NA
1-37,NA,NA,NA,NA
2-37,NA,NA,NA,NA
1-38,NA,NA,NA,NA
2-38,NA,NA,NA,NA
1-39,NA,NA,NA,NA
1-40,NA,NA,NA,NA
1-41,NA,NA,NA,NA
1-42,NA,NA,NA,NA
1-43,C112,C110,C108,C114
1-44,C112,C110,C108,C114
2-44,C112,C110,C108,C114
3-44,C112,C110,C108,C114
1-45,C112,C110,C108,C114
2-45,C112,C110,C108,C114
3-45,C112,C110,C108,C114
1-46,C112,C110,C108,C114
2-46,C112,C110,C108,C114
3-46,C112,C110,C108,C114
4-46,C112,C110,C108,C114
1-47,C112,C110,C108,C114
2-47,C112,C110,C108,C114
3-47,C112,C110,C108,C114
1-48,NA,NA,NA,NA
1-49,NA,NA,NA,NA
2-49,NA,NA,NA,NA
1-50,NA,NA,NA,NA
2-50,NA,NA,NA,NA
1-51,NA,NA,NA,NA
2-51,NA,NA,NA,NA
3-51,NA,NA,NA,NA
1-52,NA,NA,NA,NA
1-53,NA,NA,NA,NA
2-53,NA,NA,NA,NA
1-54,NA,NA,NA,NA
2-54,NA,NA,NA,NA
3-54,NA,NA,NA,NA
4-54,NA,NA,NA,NA
1-55,NA,NA,NA,NA
2-55,NA,NA,NA,NA
3-55,NA,NA,NA,NA
4-55,NA,NA,NA,NA
1-56,NA,NA,NA,NA
1-57,NA,NA,NA,NA
2-57,NA,NA,NA,NA
3-57,NA,NA,NA,NA
4-57,NA,NA,NA,NA
1-58,NA,NA,NA,NA
1-59,NA,NA,NA,NA
1-60,NA,NA,NA,NA
1-61,NA,NA,NA,NA
2-61,NA,NA,NA,NA
3-61,NA,NA,NA,NA
4-61,NA,NA,NA,NA
1-62,NA,NA,NA,NA
2-62,NA,NA,NA,NA
1-63,NA,NA,NA,NA
2-63,NA,NA,NA,NA
3-63,NA,NA,NA,NA
1-65,NA,NA,NA,NA
2-65,NA,NA,NA,NA
1-67,NA,NA,NA,NA
2-67,NA,NA,NA,NA
3-67,NA,NA,NA,NA
1-68,NA,NA,NA,NA
2-68,NA,NA,NA,NA
1-69,NA,NA,NA,NA
2-69,NA,NA,NA,NA
1-70,C107,C81,C101
2-70,C107,C81,C101
3-70,C107,C81,C101
4-70,C107,C81,C101
5-70,C107,C81,C101
6-70,C107,C81,C101
7-70,C107,C81,C101
8-70,C107,C81,C101
1-71,C119,C102,C102,C81
1-72,C103,C120,C119,C102
1-73,C90,C89,C88,C123
1-74,C86,C87,C123,C88
2-74,C86,C87,C123,C88
3-74,C86,C87,C123,C88
4-74,C86,C87,C123,C88
